analysis,sample_size,elite_count,semi_elite_count,sample_id,sample_seed,perturbation_run,noise_seed,noise_amplitude,success,error,rmse
Variance Analysis,120,10,110,7,2033,6,72031,0.5,True,,0.12665586429987266
Logistic Regression,120,10,110,7,2033,7,72032,0.5,True,,0.20843560495957145
Multiple Linear Regression,120,10,110,7,2033,7,72032,0.5,True,,0.027176637302536874
Correlation Analysis,120,10,110,7,2033,7,72032,0.5,True,,0.03453948298375952
Variance Analysis,120,10,110,7,2033,7,72032,0.5,True,,0.15714223296753585
Logistic Regression,120,10,110,7,2033,8,72033,0.5,True,,0.16815905652164417
Multiple Linear Regression,120,10,110,7,2033,8,72033,0.5,True,,0.019967488918172353
Correlation Analysis,120,10,110,7,2033,8,72033,0.5,True,,0.040742803259821464
Variance Analysis,120,10,110,7,2033,8,72033,0.5,True,,0.25781559673521715
Logistic Regression,120,10,110,7,2033,9,72034,0.5,True,,0.2133774623595732
Multiple Linear Regression,120,10,110,7,2033,9,72034,0.5,True,,0.02782125829532482
Correlation Analysis,120,10,110,7,2033,9,72034,0.5,True,,0.04222450385355562
Variance Analysis,120,10,110,7,2033,9,72034,0.5,True,,0.17584681759452603
Logistic Regression,120,10,110,7,2033,10,72035,0.5,True,,0.15743312738940937
Multiple Linear Regression,120,10,110,7,2033,10,72035,0.5,True,,0.020697125168217305
Correlation Analysis,120,10,110,7,2033,10,72035,0.5,True,,0.03417033227656603
Variance Analysis,120,10,110,7,2033,10,72035,0.5,True,,0.13666188410877436
Logistic Regression,120,10,110,8,2034,1,82026,0.5,True,,0.1425570716922232
Multiple Linear Regression,120,10,110,8,2034,1,82026,0.5,True,,0.024978291947089434
Correlation Analysis,120,10,110,8,2034,1,82026,0.5,True,,0.037490007023513114
Variance Analysis,120,10,110,8,2034,1,82026,0.5,True,,0.17144820952504888
Logistic Regression,120,10,110,8,2034,2,82027,0.5,True,,0.19977021895575076
Multiple Linear Regression,120,10,110,8,2034,2,82027,0.5,True,,0.02479653219882898
Correlation Analysis,120,10,110,8,2034,2,82027,0.5,True,,0.036215933143653234
Variance Analysis,120,10,110,8,2034,2,82027,0.5,True,,0.19355295216077997
Logistic Regression,120,10,110,8,2034,3,82028,0.5,True,,0.18498444978333942
Multiple Linear Regression,120,10,110,8,2034,3,82028,0.5,True,,0.0227217827227597
Correlation Analysis,120,10,110,8,2034,3,82028,0.5,True,,0.03131148272615908
Variance Analysis,120,10,110,8,2034,3,82028,0.5,True,,0.23459112876031432
Logistic Regression,120,10,110,8,2034,4,82029,0.5,True,,0.1818025276353434
Multiple Linear Regression,120,10,110,8,2034,4,82029,0.5,True,,0.01834266901749387
Correlation Analysis,120,10,110,8,2034,4,82029,0.5,True,,0.02621269339552833
Variance Analysis,120,10,110,8,2034,4,82029,0.5,True,,0.18908529161654922
Logistic Regression,120,10,110,8,2034,5,82030,0.5,True,,0.20598533105609096
Multiple Linear Regression,120,10,110,8,2034,5,82030,0.5,True,,0.02666805836975025
Correlation Analysis,120,10,110,8,2034,5,82030,0.5,True,,0.03313237438691945
Variance Analysis,120,10,110,8,2034,5,82030,0.5,True,,0.13458022164244648
Logistic Regression,120,10,110,8,2034,6,82031,0.5,True,,0.09988261258239946
Multiple Linear Regression,120,10,110,8,2034,6,82031,0.5,True,,0.01370742782209978
Correlation Analysis,120,10,110,8,2034,6,82031,0.5,True,,0.03786266426819739
Variance Analysis,120,10,110,8,2034,6,82031,0.5,True,,0.11328972780345944
Logistic Regression,120,10,110,8,2034,7,82032,0.5,True,,0.15900869801247647
Multiple Linear Regression,120,10,110,8,2034,7,82032,0.5,True,,0.030906605889995015
Correlation Analysis,120,10,110,8,2034,7,82032,0.5,True,,0.03808932383150053
Variance Analysis,120,10,110,8,2034,7,82032,0.5,True,,0.10656637315176434
Logistic Regression,120,10,110,8,2034,8,82033,0.5,True,,0.1370653305460975
Multiple Linear Regression,120,10,110,8,2034,8,82033,0.5,True,,0.02353445327811048
Correlation Analysis,120,10,110,8,2034,8,82033,0.5,True,,0.03147698405451536
Variance Analysis,120,10,110,8,2034,8,82033,0.5,True,,0.10501048999857605
Logistic Regression,120,10,110,8,2034,9,82034,0.5,True,,0.13239337923628952
Multiple Linear Regression,120,10,110,8,2034,9,82034,0.5,True,,0.019549617847740685
Correlation Analysis,120,10,110,8,2034,9,82034,0.5,True,,0.033513603748805014
Variance Analysis,120,10,110,8,2034,9,82034,0.5,True,,0.19937938404596117
Logistic Regression,120,10,110,8,2034,10,82035,0.5,True,,0.19887174537403277
Multiple Linear Regression,120,10,110,8,2034,10,82035,0.5,True,,0.011508606829075781
Correlation Analysis,120,10,110,8,2034,10,82035,0.5,True,,0.029890727898047822
Variance Analysis,120,10,110,8,2034,10,82035,0.5,True,,0.1611850590113009
Logistic Regression,120,10,110,9,2035,1,92026,0.5,True,,0.11525781215924297
Multiple Linear Regression,120,10,110,9,2035,1,92026,0.5,True,,0.017145259639636964
Correlation Analysis,120,10,110,9,2035,1,92026,0.5,True,,0.03640114040544088
Variance Analysis,120,10,110,9,2035,1,92026,0.5,True,,0.1681879633864769
Logistic Regression,120,10,110,9,2035,2,92027,0.5,True,,0.24597426446212814
Multiple Linear Regression,120,10,110,9,2035,2,92027,0.5,True,,0.029393086364754555
Correlation Analysis,120,10,110,9,2035,2,92027,0.5,True,,0.030891535454784253
Variance Analysis,120,10,110,9,2035,2,92027,0.5,True,,0.156171163868085
Logistic Regression,120,10,110,9,2035,3,92028,0.5,True,,0.20214551308777773
Multiple Linear Regression,120,10,110,9,2035,3,92028,0.5,True,,0.019124649454116092
Correlation Analysis,120,10,110,9,2035,3,92028,0.5,True,,0.03759157663474381
Variance Analysis,120,10,110,9,2035,3,92028,0.5,True,,0.265528083422423
