analysis,noise_amplitude,perturbation_run,random_seed,success,error,rmse,relative_error,structure_score,sign_agreement,significance_agreement,top3_overlap,rank_score,edge_jaccard,group_order_agreement,highest_domain_retention,category_agreement,top2_overlap,bottom2_overlap,r_squared_change,regression_sign_agreement,regression_top3_overlap,variance_rank_agreement,regression_rank_agreement
Figure 2,0.1,19,2044,True,,0.055681438054247745,0.05394600288859644,0.47607530742075466,nan,nan,nan,0.4043012296830186,nan,nan,nan,1.0,0.0,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,19,2044,True,,0.004716702527225828,0.049015179664491544,0.9907293377120964,0.9642857142857143,nan,1.0,0.9986316365626711,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,19,2044,True,,0.016833882936205073,0.01588021241268128,0.996031746031746,nan,nan,nan,0.9880952380952381,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,20,2045,True,,0.020263448944126156,0.20881326991489027,0.96875,0.875,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,20,2045,True,,0.0017550232714866896,0.03999390700863071,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.000627804991588099,nan,nan,nan,nan
Figure 1,0.1,20,2045,True,,0.011044277740019837,0.018637801003908227,0.9970238095238094,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9940476190476191,0.9880952380952381
Figure 2,0.1,20,2045,True,,0.05625276092518972,0.05449951921869069,0.38775983604226416,nan,nan,nan,0.5510393441690568,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,20,2045,True,,0.0044351199601529384,0.04608902096870793,0.9986316365626711,1.0,nan,1.0,0.9945265462506843,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,20,2045,True,,0.021434808531265493,0.020220487084982912,0.9900793650793651,nan,nan,nan,0.9702380952380952,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,21,2046,True,,0.011651310712419479,0.12006585331861533,0.9136904761904762,1.0,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,21,2046,True,,0.0020325756320775427,0.04631883926442542,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.00034274402286960104,nan,nan,nan,nan
Figure 1,0.1,21,2046,True,,0.012016435312246505,0.020278368164760033,0.941468253968254,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9940476190476191,0.9880952380952381
Figure 2,0.1,21,2046,True,,0.05731697690199055,0.05553056655088522,0.9400037433334546,nan,nan,nan,0.7600149733338185,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,21,2046,True,,0.003588671046772588,0.037292866170590196,0.9157088122605364,1.0,nan,1.0,0.9961685823754789,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
